Gallery thumbnail regeneration
------------------------------
Mode: APPLY
Base URL: http://localhost:3000
Viewport: 1280x720
Settle delay: 1700ms
Smart entry selection: ON
Placeholder items skipped: 0 (0 stale thumbnails deleted)
Real candidates: 125 (from 125 total active items)
(If nothing is listening on your base URL, loopback hosts fall back to a temporary static server from public/.)

Base URL unavailable at http://localhost:3000; starting temporary static server from public\ ...
Using temporary static server: http://127.0.0.1:63853
[91/125] OK  driftguard-v2 -> animations/digital-demand/driftguard-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[92/125] OK  driftguard-ai-monitor-v2 -> animations/digital-demand/driftguard-ai-monitor-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[93/125] OK  demandgrowthhero-component-v2 -> animations/digital-demand/demandgrowthhero-component-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[94/125] OK  demandgen-pipeline-hero-v2 -> animations/digital-demand/demandgen-pipeline-hero-v2/dashboardtile-v2.html (elements=106, canvas=0, svg=8, img=0, video=0, card=0)
[95/125] OK  demand-gen-hero-v2 -> animations/digital-demand/demand-gen-hero-v2/app-v2.html (elements=129, canvas=0, svg=13, img=0, video=0, card=0)
[96/125] OK  content-marketing-with-ai-v2 -> animations/digital-demand/content-marketing-with-ai-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[97/125] OK  content-marketing-kpi-dashboard-v2 -> animations/digital-demand/content-marketing-kpi-dashboard-v2/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[98/125] OK  content-engagement-marketing-dashboard-v2 -> animations/digital-demand/content-engagement-marketing-dashboard-v2/app-v2.html (elements=127, canvas=0, svg=13, img=0, video=0, card=0)
[99/125] OK  content-engagement-hero-v2 -> animations/digital-demand/content-engagement-hero-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[100/125] OK  workflow-visualization-v2 -> animations/dashboard-tiles/workflow-visualization-v2/app-v2.html (elements=137, canvas=0, svg=13, img=0, video=0, card=0)
[101/125] OK  quantum-data-field-analytics-v2 -> animations/dashboard-tiles/quantum-data-field-analytics-v2/dataopsdash-v2.html (elements=132, canvas=0, svg=11, img=0, video=0, card=0)
[102/125] OK  marketingflow-ai-workflow-v2 -> animations/dashboard-tiles/marketingflow-ai-workflow-v2/app-v2.html (elements=137, canvas=0, svg=13, img=0, video=0, card=0)
[103/125] OK  dashboard-tiles-marketingai-neural-dashboard-v2 -> animations/dashboard-tiles/marketingai-neural-dashboard-v2/app-v2.html (elements=137, canvas=0, svg=13, img=0, video=0, card=0)
[104/125] OK  dashboard-tiles-marketingai-intelligence-dashboard-v2 -> animations/dashboard-tiles/marketingai-intelligence-dashboard-v2/app-v2.html (elements=137, canvas=0, svg=13, img=0, video=0, card=0)
[105/125] OK  marketing-automation-workflow-v2 -> animations/dashboard-tiles/marketing-automation-workflow-v2/marketingautomation-v2.html (elements=123, canvas=0, svg=8, img=0, video=0, card=0)
[106/125] OK  marketing-automation-live-feed-v2 -> animations/dashboard-tiles/marketing-automation-live-feed-v2/app-v2.html (elements=139, canvas=0, svg=13, img=0, video=0, card=0)
[107/125] OK  dashboard-tiles-lifecycle-engine-dashboard-v2 -> animations/dashboard-tiles/lifecycle-engine-dashboard-v2/app-v2.html (elements=148, canvas=0, svg=13, img=0, video=0, card=0)
[108/125] OK  insightagency-strategy-dashboard-v2 -> animations/dashboard-tiles/insightagency-strategy-dashboard-v2/agencyanalysis-v2.html (elements=3, canvas=0, svg=0, img=0, video=0, card=0)
[109/125] OK  dashboard-tiles-infracore-deepdive-dashboard-v2 -> animations/dashboard-tiles/infracore-deepdive-dashboard-v2/app-v2.html (elements=137, canvas=0, svg=13, img=0, video=0, card=0)
[110/125] OK  dashboard-tiles-industrial-roi-dashboard-v2 -> animations/dashboard-tiles/industrial-roi-dashboard-v2/app-v2.html (elements=135, canvas=0, svg=13, img=0, video=0, card=0)
[111/125] OK  gtmstack-route-planner-v2 -> animations/dashboard-tiles/gtmstack-route-planner-v2/gtmstack-v2.html (elements=14, canvas=0, svg=0, img=0, video=0, card=0)
[112/125] OK  gtmstack-industry-template-v2 -> animations/dashboard-tiles/gtmstack-industry-template-v2/app-v2.html (elements=137, canvas=0, svg=13, img=0, video=0, card=0)
[113/125] OK  gtmstack-hero-tile-v2 -> animations/dashboard-tiles/gtmstack-hero-tile-v2/app-v2.html (elements=137, canvas=0, svg=13, img=0, video=0, card=0)
[114/125] OK  gtm-strategy-audience-tile-v2 -> animations/dashboard-tiles/gtm-strategy-audience-tile-v2/app-v2.html (elements=139, canvas=0, svg=13, img=0, video=0, card=0)
[115/125] OK  gtm-stack-data-sync-mesh-v2 -> animations/dashboard-tiles/gtm-stack-data-sync-mesh-v2/revopsdashboard-v2.html (elements=285, canvas=0, svg=24, img=0, video=0, card=0)
[116/125] OK  expertisehero-gtm-engine-visualization-v2 -> animations/dashboard-tiles/expertisehero-gtm-engine-visualization-v2/app-v2.html (elements=139, canvas=0, svg=13, img=0, video=0, card=0)
[117/125] OK  experience-dashboard-v2 -> animations/dashboard-tiles/experience-dashboard-v2/demandgenflow-v2.html (elements=101, canvas=0, svg=5, img=0, video=0, card=0)
[118/125] OK  apex-real-time-dashboard-v2 -> animations/dashboard-tiles/apex-real-time-dashboard-v2/demandgen-marketing-v2.html (elements=169, canvas=0, svg=11, img=0, video=0, card=0)
[119/125] OK  advocacy-loop-dashboard-v2 -> animations/dashboard-tiles/advocacy-loop-dashboard-v2/app-v2.html (elements=204, canvas=0, svg=13, img=5, video=0, card=0)
[120/125] OK  abm-success-visualizer-v2 -> animations/abm/abm-success-visualizer-v2/app-v2.html (elements=137, canvas=0, svg=13, img=0, video=0, card=0)
[121/125] OK  abm-radar-analysis-v2 -> animations/abm/abm-radar-analysis-v2/abm-radar-analysis-v2.html (elements=9, canvas=0, svg=0, img=0, video=0, card=0)
[122/125] OK  abm-pipeline-strategy-dashboard-v2 -> animations/abm/abm-pipeline-strategy-dashboard-v2/abm-pipeline-strategy-v2.html (elements=9, canvas=0, svg=0, img=0, video=0, card=0)
[123/125] OK  abm-network-dashboard-v2 -> animations/abm/abm-network-dashboard-v2/abm-network-dashboard.html (elements=8, canvas=0, svg=0, img=0, video=0, card=0)
[124/125] OK  abm-flow-premium-tile-v2 -> animations/abm/abm-flow-premium-tile-v2/app-v2.html (elements=138, canvas=0, svg=13, img=0, video=0, card=0)
[125/125] OK  abm-campaign-radar-analysis-v2 -> animations/abm/abm-campaign-radar-analysis-v2/abm-radar-analysis-v2.html (elements=12, canvas=0, svg=0, img=0, video=0, card=0)

Done. Success: 125, Failed: 0, Total: 125
